"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Marcell Ozuna","ATL","267","14.2%","22.5%","0.63",".338",".431",".636","1.067",".298","0.8",".391","-0.6","0.7","-0.3","61","27.9",".444","178","10324"
"J.D. Martinez","- - -","489","10.8%","26.2%","0.41",".303",".376",".690","1.066",".387","4.7",".327","-3.4","-2.9","0.5","105","45.1",".430","167","6184"
"Anthony Rendon","WSN","646","12.4%","13.3%","0.93",".319",".412",".598","1.010",".279","4.4",".323","0.9","-0.7","0.2","133","51.8",".413","155","12861"
"Mike Yastrzemski","SFG","225","13.3%","24.4%","0.55",".297",".400",".568",".968",".271","5.8",".370","0.1","0.9","-0.2","45","16.5",".407","158","14854"
"Frank Schwindel","- - -","259","6.2%","15.8%","0.39",".326",".371",".591",".962",".264","4.0",".348","-1.3","0.6","-0.2","50","19.0",".403","154","15351"
"George Springer","HOU","556","12.1%","20.3%","0.59",".292",".383",".591",".974",".299","4.6",".305","2.0","-1.1","0.0","109","38.7",".400","155","12856"
"Paul Goldschmidt","ARI","665","14.1%","22.1%","0.64",".297",".404",".563",".966",".265","5.6",".343","1.5","0.8","1.0","126","44.6",".400","142","9218"
"Wil Myers","SDP","218","8.3%","25.7%","0.32",".288",".353",".606",".959",".318","4.8",".331","0.9","0.7","-0.2","42","14.7",".400","155","10047"
"Tommy Pham","STL","530","13.4%","22.1%","0.61",".306",".411",".520",".931",".214","6.0",".368","4.3","-0.6","1.6","99","34.5",".398","149","2967"
"Josh Donaldson","TOR","711","10.3%","18.7%","0.55",".297",".371",".568",".939",".271","4.5",".314","3.6","-0.4","0.8","128","47.9",".398","154","5038"
"Charlie Blackmon","COL","641","6.7%","15.9%","0.42",".324",".381",".552",".933",".228","5.9",".350","1.9","1.7","-0.7","116","40.1",".394","132","7859"
"Luke Voit","NYY","234","7.3%","23.1%","0.31",".277",".338",".610",".948",".333","1.7",".268","0.1","0.2","-0.2","44","14.5",".393","153","14811"
"Nick Castellanos","CIN","585","7.0%","20.7%","0.34",".309",".362",".576",".939",".267","3.5",".340","0.1","-0.3","-0.3","108","37.2",".391","139","11737"
"Anthony Rizzo","CHC","613","11.6%","14.0%","0.83",".293",".405",".520",".924",".227","4.0",".306","-5.2","0.1","-0.3","114","37.0",".390","140","3473"
"Chris Davis","BAL","670","12.5%","31.0%","0.40",".262",".361",".562",".923",".300","1.9",".319","-1.7","2.1","-1.1","116","40.9",".390","149","9272"
"Freddie Freeman","ATL","692","12.6%","18.4%","0.69",".295",".389",".549",".938",".255","3.8",".318","0.7","-0.3","-0.5","127","40.2",".387","137","5361"
"Aaron Judge","NYY","633","11.8%","25.0%","0.47",".287",".373",".544",".916",".256","2.9",".332","-0.4","0.1","0.2","115","38.0",".387","149","15640"
"Manny Machado","SDP","644","9.8%","20.7%","0.47",".298",".366",".531",".898",".234","4.3",".337","0.9","1.3","0.8","110","36.8",".382","152","11493"
"Justin Upton","- - -","635","11.7%","28.3%","0.41",".273",".361",".540",".901",".268","4.0",".341","2.4","1.4","0.3","108","30.6",".378","137","5222"
"Justin Bour","MIA","429","11.0%","22.1%","0.49",".289",".366",".536",".902",".247","1.6",".322","-4.7","0.3","-0.1","72","19.4",".374","134","9744"
"Jose Altuve","HOU","548","7.5%","15.0%","0.50",".298",".353",".550",".903",".252","4.2",".303","-0.5","-3.2","-1.3","95","25.6",".374","137","5417"
"Mookie Betts","LAD","639","8.6%","16.3%","0.53",".269",".340",".533",".873",".264","6.0",".272","2.7","0.6","1.0","105","32.3",".373","144","13611"
"Matt Carpenter","STL","665","12.2%","22.7%","0.54",".272",".365",".505",".871",".233","3.8",".321","-0.1","2.1","-0.7","106","31.4",".372","140","8090"
"Brian Dozier","MIN","691","8.8%","20.0%","0.44",".268",".340",".546",".886",".278","6.1",".280","2.6","0.3","2.5","111","29.5",".370","132","9810"
"Bryce Harper","PHI","426","10.8%","20.4%","0.53",".286",".364",".514",".877",".227","4.6",".324","-0.7","-0.4","0.2","69","20.2",".369","138","11579"
"Jung Ho Kang","PIT","370","9.7%","21.4%","0.46",".255",".354",".513",".867",".258","2.7",".273","-2.1","-0.7","0.0","59","15.6",".369","132","17182"
"Yoenis Cespedes","- - -","676","4.9%","20.9%","0.23",".291",".328",".542",".870",".251","5.1",".323","4.2","0.4","-0.8","105","29.2",".367","135","13110"
"Carlos Gonzalez","COL","608","7.6%","21.9%","0.35",".271",".325",".540",".864",".269","3.2",".284","1.4","-0.1","0.2","93","24.5",".364","116","7287"
"Chris Taylor","LAD","214","12.1%","25.7%","0.47",".270",".366",".476",".842",".205","5.2",".344","-0.5","0.1","-0.5","35","7.9",".364","129","13757"
"Xander Bogaerts","BOS","631","9.0%","18.7%","0.48",".307",".377",".456",".833",".149","3.5",".362","4.4","0.3","0.0","99","26.7",".363","134","12161"
"Jose Ramirez","CLE","685","10.1%","12.0%","0.84",".280",".355",".514",".869",".235","5.3",".279","2.8","2.6","0.6","107","28.8",".363","139","13510"
"Logan Morrison","TBR","601","13.5%","24.8%","0.54",".246",".353",".516",".868",".270","2.4",".268","0.0","0.0","0.0","94","21.2",".363","131","9205"
"Khris Davis","OAK","652","11.2%","29.9%","0.37",".247",".336",".528",".864",".281","3.4",".290","0.3","-2.0","0.4","102","22.1",".361","130","9112"
"Lorenzo Cain","KCR","604","6.1%","16.2%","0.38",".307",".361",".477",".838",".171","7.4",".347","3.6","-0.2","2.9","91","22.7",".360","128","9077"
"Lucas Duda","NYM","554","11.9%","24.9%","0.48",".244",".352",".486",".838",".242","1.5",".285","0.3","0.7","-1.0","82","20.2",".359","132","2502"
"Adam Eaton","WSN","370","10.3%","17.3%","0.59",".301",".394",".411",".805",".110","5.4",".364","-0.5","0.6","1.1","56","13.0",".358","123","11205"
"Kris Bryant","- - -","586","10.6%","23.0%","0.46",".265",".353",".481",".835",".216","4.8",".313","3.5","1.2","0.7","91","20.2",".356","124","15429"
"Jose Martinez","STL","590","8.3%","17.6%","0.47",".305",".364",".457",".821",".152","1.4",".351","0.1","-0.1","-1.6","89","19.8",".356","127","7996"
"Kyle Schwarber","PHI","669","12.9%","29.9%","0.43",".218",".323",".504",".827",".286","5.2",".240","-2.0","0.2","1.0","100","23.8",".355","128","16478"
"Brandon Nimmo","NYM","673","10.5%","17.2%","0.61",".274",".367",".433",".800",".159","4.7",".317","0.7","0.0","-1.0","100","23.0",".353","134","12927"
"Brandon Belt","SFG","451","14.6%","23.1%","0.63",".241",".355",".469",".823",".228","4.2",".284","-1.3","1.0","-0.5","67","11.7",".352","119","10264"
"Yasmani Grandal","LAD","518","13.9%","23.9%","0.58",".241",".349",".466",".815",".225","3.1",".278","-4.8","-1.0","-0.3","76","15.6",".352","125","11368"
"Cameron Maybin","DET","391","9.2%","17.6%","0.52",".315",".383",".418",".801",".103","6.9",".383","2.2","0.2","0.3","57","10.8",".352","121","5223"
"Tony Kemp","OAK","397","13.1%","12.8%","1.02",".279",".382",".418",".800",".139","5.4",".304","1.8","1.7","0.3","60","12.1",".351","129","14894"
"Trea Turner","LAD","708","6.4%","18.5%","0.34",".298",".343",".466",".809",".169","6.4",".342","1.7","1.3","3.5","103","22.4",".350","128","16252"
"Brandon Drury","- - -","568","6.7%","22.2%","0.30",".263",".320",".492",".813",".230","3.5",".293","-3.2","0.9","-1.3","83","18.0",".350","123","11615"
"Whit Merrifield","KCR","707","8.6%","16.1%","0.54",".304",".367",".438",".806",".134","6.1",".352","3.1","-0.1","4.4","103","20.0",".349","119","11281"
"Pedro Alvarez","BAL","376","9.8%","25.8%","0.38",".249",".322",".504",".826",".255","1.8",".282","1.0","1.0","0.0","54","9.6",".349","119","2495"
"Daniel Vogelbach","- - -","461","15.8%","24.7%","0.64",".238",".360",".433",".793",".194","1.5",".290","-2.1","-0.7","-0.5","67","14.4",".349","128","14130"
"Jose Abreu","CHW","695","6.8%","18.0%","0.38",".293",".353",".468",".820",".175","1.3",".327","-2.7","-1.6","-1.2","99","17.6",".349","121","15676"
"Mitch Moreland","TEX","515","6.2%","21.7%","0.29",".278",".330",".482",".812",".204","1.5",".317","-0.5","1.2","0.0","72","14.2",".348","117","3086"
"Teoscar Hernandez","TOR","535","6.4%","28.4%","0.22",".267",".316",".491",".807",".224","3.8",".335","0.2","-2.3","-0.4","77","16.2",".348","129","13066"
"Michael Saunders","TOR","558","10.6%","28.1%","0.38",".253",".338",".478",".815",".224","3.0",".321","1.4","-1.4","-0.9","79","13.5",".348","119","9981"
"Jason Kipnis","CLE","688","8.7%","21.2%","0.41",".275",".343",".469",".811",".193","5.4",".324","1.9","-2.5","1.4","98","16.5",".347","114","9776"
"Patrick Wisdom","CHC","375","8.5%","40.8%","0.21",".231",".305",".518",".823",".287","3.5",".318","-0.5","-0.2","0.1","55","9.9",".346","117","13602"
